variety,open_date,close_date,open_price,close_price,usdt_amount,direct,profit,msg
BTC-USDT,2023-05-04 10:00:40,2023-05-04 11:00:10,29054.93591,29084.78000,25.00,buy,0.025,平多仓
BTC-USDT,2023-05-04 11:00:12,2023-05-04 11:11:48,29109.23415,29083.88000,25.00,sell,0.022,平空仓
BTC-USDT,2023-05-04 11:12:51,2023-05-04 11:22:20,29049.29782,29086.98000,25.00,buy,0.033,平多仓
BTC-USDT,2023-05-04 11:22:22,2023-05-04 11:38:21,29007.36787,29026.81000,25.00,buy,0.017,平多仓
BTC-USDT,2023-05-04 11:39:48,2023-05-04 11:47:38,29052.43733,29022.02000,25.00,sell,0.026,平空仓
BTC-USDT,2023-05-04 11:47:40,2023-05-04 11:53:28,29098.42601,29076.10000,25.00,sell,0.02,平空仓
BTC-USDT,2023-05-04 11:54:57,2023-05-04 12:00:52,29087.37207,29108.54000,50.00,buy,0.036,平多仓
BTC-USDT,2023-05-04 12:00:54,2023-05-04 12:08:33,29098.47681,29075.02000,50.00,sell,0.041,平空仓
合计盈利：0.22
